cs,period,n1,c1,percryRNA
0.9,48,26,Type 1 Coupling,0.872402087
0.9,48,26,Type 1 Coupling,0.869716657
0.9,48,25,Type 1 Coupling,0.867124274
0.9,48,7,Type 1 Coupling,0.864621636
0.9,48,16,Type 1 Coupling,0.86221114
0.9,48,13,Type 1 Coupling,0.859910095
0.9,24,1,Type 3 Coupling,0.857747216
0.9,48,13,Type 1 Coupling,0.855725984
0.9,24,390,Type 3 Coupling,0.853826986
0.9,24,68,Type 3 Coupling,0.852014014
0.9,48,31,Type 3 Coupling,0.850282821
0.9,48,23,Type 3 Coupling,0.848630093
0.9,48,24,Type 1 Coupling,0.847063936
0.3,48,17,Type 3 Coupling,0.84556971
0.3,24,46,Type 3 Coupling,0.844153967
0.3,24,39,Type 3 Coupling,0.842841887
0.3,24,39,Type 3 Coupling,0.841660626
0.3,24,32,Type 3 Coupling,0.840610759
0.3,24,112,Type 3 Coupling,0.839670754
0.3,24,359,Type 3 Coupling,0.838824006
0.4,48,69,Type 3 Coupling,0.83806483
0.4,48,128,Type 3 Coupling,0.837396297
0.4,48,39,Type 3 Coupling,0.836808271
0.4,48,31,Type 3 Coupling,0.836285103
0.4,48,34,Type 3 Coupling,0.835809818
0.4,48,33,Type 1 Coupling,0.835391644
0.4,24,292,Type 3 Coupling,0.83501597
0.4,48,24,Type 3 Coupling,0.834688624
0.4,24,215,Type 3 Coupling,0.834431099
0.4,24,175,Type 3 Coupling,0.834264547
0.4,24,195,Type 3 Coupling,0.834204697
0.4,24,340,Type 3 Coupling,0.834249221
0.4,48,49,Type 1 Coupling,0.834391567
0.4,48,27,Type 3 Coupling,0.834632019
0.4,24,26,Type 3 Coupling,0.834980302
0.4,24,48,Type 3 Coupling,0.835428389
0.4,24,124,Type 3 Coupling,0.835962006
0.4,24,63,Type 3 Coupling,0.836589902
0.4,24,79,Type 3 Coupling,0.837322509
0.5,24,25,Type 3 Coupling,0.838151744
0.5,24,2,Type 3 Coupling,0.839095026
0.5,24,2,Type 3 Coupling,0.840158754
0.5,24,2,Type 3 Coupling,0.84134959
0.5,24,38,Type 3 Coupling,0.842670294
0.5,24,2,Type 3 Coupling,0.844114247
0.5,24,25,Type 3 Coupling,0.845682051
0.5,24,250,Type 2 Coupling,0.847356766
0.5,24,103,Type 3 Coupling,0.849120551
0.5,24,390,Type 2 Coupling,0.850968356
0.5,24,71,Type 3 Coupling,0.852902407
0.5,24,46,Type 3 Coupling,0.854939824
0.5,24,2,Type 3 Coupling,0.857099638
0.5,24,21,Type 2 Coupling,0.859377644
0.5,24,32,Type 3 Coupling,0.861756783
0.5,24,79,Type 3 Coupling,0.864217929
0.5,24,157,Type 2 Coupling,0.866750328
0.5,24,215,Type 3 Coupling,0.869369321
0.5,48,2,Type 3 Coupling,0.872087829
0.5,24,22,Type 3 Coupling,0.874917712
0.5,24,24,Type 3 Coupling,0.877847016
0.5,24,44,Type 3 Coupling,0.88085726
0.6,24,27,Type 3 Coupling,0.883945939
0.6,24,38,Type 3 Coupling,0.887136764
0.6,24,153,Type 3 Coupling,0.890426295
0.6,24,106,Type 3 Coupling,0.893802977
0.6,24,29,Type 3 Coupling,0.897266426
0.6,24,15,Type 3 Coupling,0.900821996
0.6,24,4,Type 3 Coupling,0.904502092
0.6,24,57,Type 2 Coupling,0.90830316
0.6,48,29,Type 3 Coupling,0.912194015
0.6,24,31,Type 3 Coupling,0.916129808
0.6,48,58,Type 1 Coupling,0.920088557
0.6,48,173,Type 3 Coupling,0.924080959
0.6,48,62,Type 3 Coupling,0.928131674
0.6,24,49,Type 2 Coupling,0.932225887
0.6,24,14,Type 3 Coupling,0.936327116
0.6,24,6,Type 3 Coupling,0.940436998
0.6,24,49,Type 2 Coupling,0.944561893
0.6,24,377,Type 3 Coupling,0.94869127
0.6,24,45,Type 2 Coupling,0.952833595
0.6,24,175,Type 3 Coupling,0.95700905
0.6,24,19,Type 3 Coupling,0.961238144
0.6,24,44,Type 2 Coupling,0.965510917
0.6,24,10,Type 3 Coupling,0.96981049
0.6,24,26,Type 3 Coupling,0.974141734
0.6,24,68,Type 3 Coupling,0.978480792
0.6,48,26,Type 3 Coupling,0.982794494
0.6,24,44,Type 2 Coupling,0.987085794
0.7,24,27,Type 3 Coupling,0.991364136
0.7,24,6,Type 3 Coupling,0.995677071
0.7,48,30,Type 3 Coupling,1.000031723
0.7,24,60,Type 1 Coupling,1.004409939
0.7,24,25,Type 3 Coupling,1.008790833
0.7,48,25,Type 3 Coupling,1.013138769
0.7,24,36,Type 3 Coupling,1.017444671
0.7,24,50,Type 2 Coupling,1.021704987
0.7,48,30,Type 3 Coupling,1.025932654
0.7,24,25,Type 3 Coupling,1.03014849
0.7,24,7,Type 3 Coupling,1.034318961
0.7,24,79,Type 3 Coupling,1.038415917
0.7,24,65,Type 2 Coupling,1.042447037
0.7,24,390,Type 3 Coupling,1.046439287
0.7,24,240,Type 3 Coupling,1.050412113
0.7,24,217,Type 3 Coupling,1.054360073
0.7,24,70,Type 3 Coupling,1.058283026
0.7,24,390,Type 3 Coupling,1.062177896
0.7,24,7,Type 3 Coupling,1.066048754
0.8,24,181,Type 3 Coupling,1.069914546
0.8,48,122,Type 3 Coupling,1.073814696
0.8,24,168,Type 1 Coupling,1.077749006
0.8,24,27,Type 3 Coupling,1.081695382
0.8,24,390,Type 3 Coupling,1.085624169
0.8,24,258,Type 3 Coupling,1.08953143
0.8,24,262,Type 3 Coupling,1.093412122
0.8,24,25,Type 3 Coupling,1.097284102
0.8,24,40,Type 3 Coupling,1.101153726
0.8,24,390,Type 3 Coupling,1.105019543
0.8,24,390,Type 3 Coupling,1.108881584
0.8,24,314,Type 3 Coupling,1.112754979
0.8,48,37,Type 1 Coupling,1.116618415
0.8,48,3,Type 1 Coupling,1.120424973
0.8,24,38,Type 3 Coupling,1.124136321
0.8,24,102,Type 3 Coupling,1.127753375
0.8,24,6,Type 3 Coupling,1.131246644
0.8,24,187,Type 2 Coupling,1.134613543
0.8,24,16,Type 3 Coupling,1.137891348
0.8,48,13,Type 3 Coupling,1.1411036
0.8,24,17,Type 3 Coupling,1.144262487
0.9,24,14,Type 3 Coupling,1.147377893
0.9,24,23,Type 3 Coupling,1.150415887
0.9,24,26,Type 3 Coupling,1.153331035
0.9,24,24,Type 3 Coupling,1.156065215
0.9,24,31,Type 3 Coupling,1.158579726
0.9,24,32,Type 3 Coupling,1.160900669
0.9,48,23,Type 3 Coupling,1.163079971
0.9,24,82,Type 2 Coupling,1.165136748
0.9,24,7,Type 3 Coupling,1.167116618
0.9,48,21,Type 3 Coupling,1.169080489
0.9,24,63,Type 2 Coupling,1.171034862
0.9,24,30,Type 3 Coupling,1.17294206
0.9,24,375,Type 3 Coupling,1.174766708
0.9,24,2,Type 3 Coupling,1.176502619
0.9,24,155,Type 3 Coupling,1.17812972
0.9,24,260,Type 3 Coupling,1.179659635
0.9,48,30,Type 3 Coupling,1.181118957
0.9,24,233,Type 3 Coupling,1.182494302
0.9,24,210,Type 3 Coupling,1.183804688
0.9,48,96,Type 3 Coupling,1.185023222
0.9,48,22,Type 1 Coupling,1.186091675
0.9,24,40,Type 3 Coupling,1.187007973
0.9,24,33,Type 3 Coupling,1.18779395
0.9,24,36,Type 3 Coupling,1.188407163
0.9,24,63,Type 3 Coupling,1.188854862
0.9,48,27,Type 3 Coupling,1.18917632
0.9,24,127,Type 3 Coupling,1.189390512
0.9,48,23,Type 3 Coupling,1.189507593
0.9,48,28,Type 3 Coupling,1.189517521
0.9,48,24,Type 3 Coupling,1.189378841
0.3,48,185,Type 3 Coupling,1.189079851
0.3,48,390,Type 3 Coupling,1.188602057
0.3,48,390,Type 3 Coupling,1.187929747
0.3,48,390,Type 3 Coupling,1.187090646
0.3,24,145,Type 3 Coupling,1.186075281
0.3,24,15,Type 3 Coupling,1.184838821
0.3,48,15,Type 3 Coupling,1.18335679
0.4,24,16,Type 3 Coupling,1.181658892
0.4,24,17,Type 3 Coupling,1.179765229
0.4,48,17,Type 3 Coupling,1.177675101
0.4,24,19,Type 3 Coupling,1.175403954
0.4,24,17,Type 3 Coupling,1.172967418
0.4,48,17,Type 3 Coupling,1.170337101
0.4,24,14,Type 3 Coupling,1.167528197
0.4,24,16,Type 3 Coupling,1.164565152
0.4,24,17,Type 3 Coupling,1.161465253
0.4,48,17,Type 3 Coupling,1.158224082
0.4,24,218,Type 1 Coupling,1.154816526
0.4,24,267,Type 3 Coupling,1.151233764
0.4,48,30,Type 3 Coupling,1.147492572
0.4,24,305,Type 3 Coupling,1.143631319
0.4,48,44,Type 3 Coupling,1.139661888
0.4,24,175,Type 3 Coupling,1.13561594
0.4,48,244,Type 3 Coupling,1.131475764
0.4,24,171,Type 3 Coupling,1.127233917
0.4,24,201,Type 3 Coupling,1.122881229
0.5,24,164,Type 3 Coupling,1.118405194
0.5,24,51,Type 3 Coupling,1.113812499
0.5,24,390,Type 3 Coupling,1.109104454
0.5,24,390,Type 3 Coupling,1.104292637
0.5,24,390,Type 3 Coupling,1.099398565
0.5,48,108,Type 3 Coupling,1.094463922
0.5,48,140,Type 3 Coupling,1.089519186
0.5,48,30,Type 3 Coupling,1.084562674
0.5,48,28,Type 3 Coupling,1.079582363
0.5,24,100,Type 3 Coupling,1.074572196
0.5,48,3,Type 3 Coupling,1.069550003
0.5,48,22,Type 3 Coupling,1.064544564
0.5,48,25,Type 3 Coupling,1.059550663
0.5,48,49,Type 3 Coupling,1.054513302
0.5,48,43,Type 3 Coupling,1.049405248
0.5,48,67,Type 1 Coupling,1.044241978
0.5,48,390,Type 3 Coupling,1.039044506
0.5,48,271,Type 3 Coupling,1.033821956
0.5,48,216,Type 3 Coupling,1.028576622
0.5,48,27,Type 3 Coupling,1.02330166
0.5,48,26,Type 3 Coupling,1.018002933
0.5,48,23,Type 3 Coupling,1.012681906
0.6,48,24,Type 1 Coupling,1.007335692
0.6,48,17,Type 3 Coupling,1.001965131
0.6,48,26,Type 3 Coupling,0.996586966
0.6,48,183,Type 3 Coupling,0.991213305
0.6,24,107,Type 3 Coupling,0.985851482
0.6,24,87,Type 3 Coupling,0.980535363
0.6,48,26,Type 3 Coupling,0.975310548
0.6,48,59,Type 3 Coupling,0.970214405
0.6,48,181,Type 3 Coupling,0.96523903
0.6,48,47,Type 3 Coupling,0.960328948
0.6,48,327,Type 3 Coupling,0.955471265
0.6,48,390,Type 3 Coupling,0.950652384
0.6,48,24,Type 3 Coupling,0.945855669
0.6,24,146,Type 3 Coupling,0.941082514
0.6,48,19,Type 3 Coupling,0.936344331
0.6,48,23,Type 1 Coupling,0.931662538
0.6,48,23,Type 3 Coupling,0.927040394
0.6,48,23,Type 3 Coupling,0.922460895
0.6,48,400,Type 3 Coupling,0.917901871
0.6,48,400,Type 1 Coupling,0.913376839
0.6,48,201,Type 3 Coupling,0.908921872
0.6,48,199,Type 2 Coupling,0.904546738
0.6,48,3,Type 3 Coupling,0.900260182
0.6,48,3,Type 3 Coupling,0.896059654
0.6,48,2,Type 3 Coupling,0.891929178
0.6,48,2,Type 3 Coupling,0.887863042
0.6,48,9,Type 3 Coupling,0.883888735
0.7,48,11,Type 3 Coupling,0.880028313
0.7,48,7,Type 3 Coupling,0.876256922
0.7,48,10,Type 3 Coupling,0.872566261
0.7,24,97,Type 1 Coupling,0.868974562
0.7,48,3,Type 3 Coupling,0.865493265
0.7,48,24,Type 3 Coupling,0.862132774
0.7,48,19,Type 3 Coupling,0.858896951
0.7,48,23,Type 1 Coupling,0.855779028
0.7,48,23,Type 3 Coupling,0.852764659
0.7,48,18,Type 1 Coupling,0.849836338
0.7,24,195,Type 3 Coupling,0.846990365
0.7,48,16,Type 3 Coupling,0.84421911
0.7,48,36,Type 3 Coupling,0.841540543
0.7,48,81,Type 3 Coupling,0.838975876
0.7,48,400,Type 3 Coupling,0.836530517
0.7,48,390,Type 3 Coupling,0.834208598
0.7,48,18,Type 1 Coupling,0.832007356
0.7,24,25,Type 3 Coupling,0.829901428
0.7,24,16,Type 1 Coupling,0.827858543
0.8,48,32,Type 3 Coupling,0.825866602
0.8,24,21,Type 1 Coupling,0.823928695
0.8,48,8,Type 3 Coupling,0.822040699
0.8,48,7,Type 3 Coupling,0.820190327
0.8,48,21,Type 3 Coupling,0.818380884
0.8,48,21,Type 3 Coupling,0.816624677
0.8,48,21,Type 3 Coupling,0.814939869
0.8,48,109,Type 2 Coupling,0.81335286
0.8,48,6,Type 3 Coupling,0.811869081
0.8,48,9,Type 3 Coupling,0.810483572
0.8,48,23,Type 3 Coupling,0.809214656
0.8,48,79,Type 3 Coupling,0.808075223
0.8,24,108,Type 3 Coupling,0.807050378
0.8,48,139,Type 3 Coupling,0.806127586
0.8,48,161,Type 3 Coupling,0.805306857
0.8,24,390,Type 3 Coupling,0.804584596
0.8,48,10,Type 3 Coupling,0.803961955
0.8,48,9,Type 3 Coupling,0.803456018
0.8,48,10,Type 3 Coupling,0.803081281
0.8,48,329,Type 3 Coupling,0.80283367
0.8,48,146,Type 3 Coupling,0.80272227
0.9,48,185,Type 3 Coupling,0.802752278
0.9,48,183,Type 3 Coupling,0.802914549
0.9,48,165,Type 3 Coupling,0.803201815
0.9,48,292,Type 3 Coupling,0.803611594
0.9,48,20,Type 3 Coupling,0.80414158
0.9,48,70,Type 3 Coupling,0.804781768
0.9,48,65,Type 3 Coupling,0.805523453
0.9,48,351,Type 3 Coupling,0.806368762
0.9,48,36,Type 1 Coupling,0.807315234
0.9,48,37,Type 3 Coupling,0.808364043
0.9,24,390,Type 2 Coupling,0.809515849
0.9,48,3,Type 3 Coupling,0.810778807
0.9,24,67,Type 2 Coupling,0.812177177
0.9,24,220,Type 3 Coupling,0.813730546
0.9,24,25,Type 3 Coupling,0.815429526
0.9,24,21,Type 1 Coupling,0.817270695
0.9,24,16,Type 1 Coupling,0.819246051
0.9,48,16,Type 3 Coupling,0.821333046
0.9,24,121,Type 3 Coupling,0.82351673
0.9,24,29,Type 3 Coupling,0.825803341
0.9,24,143,Type 3 Coupling,0.828188511
0.9,24,38,Type 3 Coupling,0.830679007
0.9,24,134,Type 3 Coupling,0.833282775
0.9,24,203,Type 3 Coupling,0.835999447
0.9,48,390,Type 3 Coupling,0.838837915
0.9,24,368,Type 3 Coupling,0.841806533
0.9,24,195,Type 3 Coupling,0.844883582
0.9,48,191,Type 1 Coupling,0.84804417
0.9,48,10,Type 3 Coupling,0.851291436
0.9,48,17,Type 3 Coupling,0.85465293
0.3,48,19,Type 3 Coupling,0.858124537
0.3,48,21,Type 3 Coupling,0.861694322
0.3,48,20,Type 3 Coupling,0.86537502
0.3,48,7,Type 3 Coupling,0.869171253
0.3,24,186,Type 3 Coupling,0.873040042
0.3,48,206,Type 3 Coupling,0.876943942
0.3,48,206,Type 3 Coupling,0.880868422
0.4,48,9,Type 2 Coupling,0.88483906
0.4,48,11,Type 2 Coupling,0.888874423
0.4,48,18,Type 2 Coupling,0.892987203
0.4,48,21,Type 2 Coupling,0.897175601
0.4,48,24,Type 2 Coupling,0.90141686
0.4,48,15,Type 3 Coupling,0.905693727
0.4,24,2,Type 3 Coupling,0.91000897
0.4,24,60,Type 3 Coupling,0.914387637
0.4,24,46,Type 1 Coupling,0.918854186
0.4,48,390,Type 3 Coupling,0.923404733
0.4,24,25,Type 2 Coupling,0.928023686
0.4,24,33,Type 2 Coupling,0.932708109
0.4,48,27,Type 2 Coupling,0.937457604
0.4,24,158,Type 3 Coupling,0.942249883
0.4,24,152,Type 3 Coupling,0.947057708
0.4,24,390,Type 3 Coupling,0.951861346
0.4,24,23,Type 3 Coupling,0.95664464
0.4,48,9,Type 3 Coupling,0.961397218
0.4,48,32,Type 2 Coupling,0.966123086
0.5,48,11,Type 2 Coupling,0.9708424
0.5,48,28,Type 3 Coupling,0.975579587
0.5,48,400,Type 3 Coupling,0.980345888
0.5,24,220,Type 2 Coupling,0.985126682
0.5,24,80,Type 3 Coupling,0.989890962
0.5,48,43,Type 2 Coupling,0.994614068
0.5,48,17,Type 3 Coupling,0.999284924
0.5,48,28,Type 3 Coupling,1.003917284
0.5,48,49,Type 3 Coupling,1.008523136
0.5,48,141,Type 3 Coupling,1.013086826
0.5,48,32,Type 3 Coupling,1.017608718
0.5,48,73,Type 3 Coupling,1.022119497
0.5,48,60,Type 1 Coupling,1.026664404
0.5,48,390,Type 3 Coupling,1.031229963
0.5,48,390,Type 3 Coupling,1.035800198
0.5,48,390,Type 3 Coupling,1.040358385
0.5,48,288,Type 3 Coupling,1.044886053
0.5,48,390,Type 3 Coupling,1.049388297
0.5,48,193,Type 3 Coupling,1.053857695
0.5,48,390,Type 3 Coupling,1.058282188
0.5,48,30,Type 3 Coupling,1.062662669
0.5,48,49,Type 1 Coupling,1.066993033
0.6,48,37,Type 3 Coupling,1.07124672
0.6,48,47,Type 3 Coupling,1.075383912
0.6,48,4,Type 3 Coupling,1.079407184
0.6,48,85,Type 3 Coupling,1.083334254
0.6,48,296,Type 3 Coupling,1.087200827
0.6,24,27,Type 3 Coupling,1.091033066
0.6,24,24,Type 3 Coupling,1.094833309
0.6,24,390,Type 1 Coupling,1.098556523
0.6,24,36,Type 3 Coupling,1.102238339
0.6,24,36,Type 3 Coupling,1.10590919
0.6,48,196,Type 1 Coupling,1.10956889
0.6,24,88,Type 3 Coupling,1.113199029
0.6,24,34,Type 3 Coupling,1.116805016
0.6,24,20,Type 3 Coupling,1.120403604
0.6,24,27,Type 3 Coupling,1.124026736
0.6,24,20,Type 3 Coupling,1.127692707
0.6,24,20,Type 3 Coupling,1.131403571
0.6,48,23,Type 3 Coupling,1.135107189
0.6,48,22,Type 1 Coupling,1.138723126
0.6,24,6,Type 3 Coupling,1.142235039
0.6,24,119,Type 3 Coupling,1.145710497
0.6,24,86,Type 1 Coupling,1.149182354
0.6,24,60,Type 3 Coupling,1.152640296
0.6,24,184,Type 3 Coupling,1.156041855
0.6,24,103,Type 3 Coupling,1.159350239
0.6,48,232,Type 3 Coupling,1.162534959
0.6,24,13,Type 3 Coupling,1.165600677
0.7,24,82,Type 3 Coupling,1.1685844
0.7,24,94,Type 1 Coupling,1.171517669
0.7,24,142,Type 3 Coupling,1.174399663
0.7,24,89,Type 1 Coupling,1.177223497
0.7,24,128,Type 3 Coupling,1.179996424
0.7,24,14,Type 3 Coupling,1.182743762
0.7,48,23,Type 3 Coupling,1.185459615
0.7,24,141,Type 3 Coupling,1.188122138
0.7,48,244,Type 3 Coupling,1.190720299
0.7,48,21,Type 3 Coupling,1.19323
0.7,48,30,Type 3 Coupling,1.195634695
0.7,24,104,Type 3 Coupling,1.197868771
0.7,24,115,Type 1 Coupling,1.199892396
0.7,24,219,Type 3 Coupling,1.201757271
0.7,24,221,Type 3 Coupling,1.203552806
0.7,24,27,Type 3 Coupling,1.205311768
0.7,24,38,Type 3 Coupling,1.207009457
0.7,24,300,Type 3 Coupling,1.208592442
0.7,24,3,Type 3 Coupling,1.210014749
0.8,24,183,Type 3 Coupling,1.21121331
0.8,48,38,Type 3 Coupling,1.212154274
0.8,24,3,Type 3 Coupling,1.212812781
0.8,48,31,Type 3 Coupling,1.213224095
0.8,24,120,Type 1 Coupling,1.213439829
0.8,48,36,Type 1 Coupling,1.213516789
0.8,24,98,Type 3 Coupling,1.213457306
0.8,24,138,Type 3 Coupling,1.213198921
0.8,24,74,Type 3 Coupling,1.212718467
0.8,24,50,Type 1 Coupling,1.212035074
0.8,24,37,Type 3 Coupling,1.21112074
0.8,24,3,Type 3 Coupling,1.209939165
0.8,24,3,Type 3 Coupling,1.208519114
0.8,48,39,Type 3 Coupling,1.206939229
0.8,24,3,Type 3 Coupling,1.205232456
0.8,48,42,Type 3 Coupling,1.203388954
0.8,24,3,Type 3 Coupling,1.201405617
0.8,48,30,Type 3 Coupling,1.199285699
0.8,24,39,Type 1 Coupling,1.197037134
0.8,24,3,Type 3 Coupling,1.194653749
0.8,48,35,Type 3 Coupling,1.192105399
0.9,24,41,Type 1 Coupling,1.189398427
0.9,48,81,Type 3 Coupling,1.186578119
0.9,48,103,Type 3 Coupling,1.18369251
0.9,48,3,Type 3 Coupling,1.180767412
0.9,48,192,Type 3 Coupling,1.17779469
0.9,48,15,Type 3 Coupling,1.174757702
0.9,24,3,Type 3 Coupling,1.171674289
0.9,48,375,Type 3 Coupling,1.168566691
0.9,24,3,Type 3 Coupling,1.16543561
0.9,72,103,Type 1 Coupling,1.162280498
0.9,72,56,Type 3 Coupling,1.159091343
0.9,72,102,Type 1 Coupling,1.155876924
0.9,72,390,Type 2 Coupling,1.152639168
0.9,72,83,Type 2 Coupling,1.149360463
0.9,72,390,Type 2 Coupling,1.145998526
0.9,72,239,Type 2 Coupling,1.142548306
0.9,72,390,Type 2 Coupling,1.139033878
0.9,72,233,Type 2 Coupling,1.135445589
0.9,72,267,Type 2 Coupling,1.131791567
0.9,72,390,Type 2 Coupling,1.128103831
0.9,72,96,Type 2 Coupling,1.124407242
0.9,72,390,Type 2 Coupling,1.120706159
0.9,72,390,Type 2 Coupling,1.116964028
0.9,72,243,Type 2 Coupling,1.11318182
0.9,72,38,Type 1 Coupling,1.109361279
0.9,72,64,Type 3 Coupling,1.105474289
0.9,72,84,Type 3 Coupling,1.101499373
0.9,72,79,Type 1 Coupling,1.097406758
0.9,72,94,Type 3 Coupling,1.093177419
0.9,24,78,Type 1 Coupling,1.088805845
0.3,72,94,Type 3 Coupling,1.084304842
